# Value of energy0.111376
# number of periods40
# number of steps40
0.791667 -0.65751 0.236781
0.793333 -0.658793 0.235548
0.795 -0.660071 0.234314
0.796667 -0.661343 0.233077
0.798333 -0.66261 0.231838
0.8 -0.663872 0.230598
0.801667 -0.665128 0.229355
0.803333 -0.666379 0.228111
0.805 -0.667625 0.226864
0.806667 -0.668865 0.225616
0.808333 -0.670101 0.224366
0.81 -0.67133 0.223114
0.811667 -0.672555 0.221861
0.813333 -0.673775 0.220605
0.815 -0.674989 0.219348
0.816667 -0.676198 0.218089
0.818333 -0.677401 0.216828
0.82 -0.6786 0.215566
0.821667 -0.679793 0.214301
0.823333 -0.680981 0.213035
0.825 -0.682164 0.211768
0.826667 -0.683341 0.210498
0.828333 -0.684514 0.209227
0.83 -0.685681 0.207955
0.831667 -0.686843 0.206681
0.833333 -0.688 0.205405
0.835 -0.689151 0.204127
0.836667 -0.690298 0.202848
0.838333 -0.691439 0.201567
0.84 -0.692575 0.200285
0.841667 -0.693706 0.199001
0.843333 -0.694832 0.197716
0.845 -0.695953 0.196429
0.846667 -0.697069 0.195141
0.848333 -0.69818 0.193851
0.85 -0.699285 0.19256
0.851667 -0.700386 0.191267
0.853333 -0.701481 0.189973
0.855 -0.702571 0.188677
0.856667 -0.703656 0.18738
0.858333 -0.704736 0.186082
0.86 -0.705812 0.184782
0.861667 -0.706882 0.183481
0.863333 -0.707946 0.182178
0.865 -0.709006 0.180874
0.866667 -0.710061 0.179569
0.868333 -0.711111 0.178262
0.87 -0.712156 0.176954
0.871667 -0.713196 0.175645
0.873333 -0.714231 0.174334
0.875 -0.71526 0.173023
0.876667 -0.716285 0.17171
0.878333 -0.717305 0.170395
0.88 -0.71832 0.16908
0.881667 -0.71933 0.167763
0.883333 -0.720335 0.166445
0.885 -0.721335 0.165126
0.886667 -0.72233 0.163805
0.888333 -0.72332 0.162484
0.89 -0.724305 0.161161
0.891667 -0.725285 0.159837
0.893333 -0.726261 0.158512
0.895 -0.727231 0.157186
0.896667 -0.728196 0.155858
0.898333 -0.729157 0.15453
0.9 -0.730113 0.153201
0.901667 -0.731063 0.15187
0.903333 -0.732009 0.150538
0.905 -0.73295 0.149206
0.906667 -0.733886 0.147872
0.908333 -0.734818 0.146537
0.91 -0.735744 0.145201
0.911667 -0.736666 0.143865
0.913333 -0.737582 0.142527
0.915 -0.738494 0.141188
0.916667 -0.739401 0.139848
0.918333 -0.740303 0.138507
0.92 -0.741201 0.137166
0.921667 -0.742093 0.135823
0.923333 -0.742981 0.13448
0.925 -0.743864 0.133135
0.926667 -0.744742 0.13179
0.928333 -0.745616 0.130443
0.93 -0.746484 0.129096
0.931667 -0.747348 0.127748
0.933333 -0.748207 0.126399
0.935 -0.749061 0.12505
0.936667 -0.749911 0.123699
0.938333 -0.750755 0.122347
0.94 -0.751595 0.120995
0.941667 -0.752431 0.119642
0.943333 -0.753261 0.118288
0.945 -0.754087 0.116933
0.946667 -0.754908 0.115578
0.948333 -0.755724 0.114222
0.95 -0.756536 0.112865
0.951667 -0.757343 0.111507
0.953333 -0.758145 0.110148
0.955 -0.758943 0.108789
0.956667 -0.759735 0.107429
0.958333 -0.760524 0.106069
0.96 -0.761307 0.104707
0.961667 -0.762086 0.103345
0.963333 -0.76286 0.101983
0.965 -0.76363 0.100619
0.966667 -0.764394 0.0992551
0.968333 -0.765155 0.0978903
0.97 -0.76591 0.096525
0.971667 -0.766661 0.095159
0.973333 -0.767407 0.0937924
0.975 -0.768149 0.0924252
0.976667 -0.768886 0.0910574
0.978333 -0.769618 0.0896889
0.98 -0.770346 0.0883199
0.981667 -0.771069 0.0869504
0.983333 -0.771788 0.0855802
0.985 -0.772502 0.0842095
0.986667 -0.773211 0.0828383
0.988333 -0.773916 0.0814665
0.99 -0.774617 0.0800942
0.991667 -0.775312 0.0787214
0.993333 -0.776003 0.077348
0.995 -0.77669 0.0759742
0.996667 -0.777372 0.0745999
0.998333 -0.77805 0.0732251
1 -0.778723 0.0718498
1.00167 -0.779391 0.0704741
1.00333 -0.780055 0.0690979
1.005 -0.780714 0.0677212
1.00667 -0.781369 0.0663442
1.00833 -0.782019 0.0649666
1.01 -0.782665 0.0635887
1.01167 -0.783307 0.0622104
1.01333 -0.783943 0.0608316
1.015 -0.784576 0.0594525
1.01667 -0.785204 0.058073
1.01833 -0.785827 0.0566931
1.02 -0.786446 0.0553129
1.02167 -0.78706 0.0539322
1.02333 -0.78767 0.0525513
1.025 -0.788276 0.05117
1.02667 -0.788877 0.0497883
1.02833 -0.789473 0.0484064
1.03 -0.790065 0.0470241
1.03167 -0.790653 0.0456415
